period,ratio,keyword,age
2025-05-01,0.06059,우베,10대
2025-06-01,0.05826,우베,10대
2025-07-01,0.08797,우베,10대
2025-08-01,0.12292,우베,10대
2025-09-01,0.18934,우베,10대
2025-10-01,0.11244,우베,10대
2025-11-01,0.07515,우베,10대
2025-12-01,0.07865,우베,10대
2026-01-01,0.12759,우베,10대
2026-02-01,0.09729,우베,10대
2026-03-01,0.95081,우베,10대
2026-04-01,9.36886,우베,10대
2025-05-01,0.22838,샌드베이글,10대
2025-06-01,0.19517,샌드베이글,10대
2025-07-01,0.39617,샌드베이글,10대
2025-08-01,0.39384,샌드베이글,10대
2025-09-01,0.29654,샌드베이글,10대
2025-10-01,0.31751,샌드베이글,10대
2025-11-01,0.2377,샌드베이글,10대
2025-12-01,0.39442,샌드베이글,10대
2026-01-01,0.53832,샌드베이글,10대
2026-02-01,0.70262,샌드베이글,10대
2026-03-01,1.52001,샌드베이글,10대
2026-04-01,1.57244,샌드베이글,10대
2025-05-01,0.43229,창억떡,10대
2025-06-01,0.34898,창억떡,10대
2025-07-01,0.26799,창억떡,10대
2025-08-01,0.39617,창억떡,10대
2025-09-01,0.42763,창억떡,10대
2025-10-01,0.41131,창억떡,10대
2025-11-01,0.28489,창억떡,10대
2025-12-01,0.24294,창억떡,10대
2026-01-01,0.33849,창억떡,10대
2026-02-01,0.39558,창억떡,10대
2026-03-01,11.66782,창억떡,10대
2026-04-01,7.59541,창억떡,10대
2025-05-01,0.00116,버터떡,10대
2025-07-01,0.00116,버터떡,10대
2025-08-01,0.00116,버터떡,10대
2025-09-01,0.00058,버터떡,10대
2025-12-01,0.00116,버터떡,10대
2026-01-01,0.01514,버터떡,10대
2026-02-01,0.05476,버터떡,10대
2026-03-01,25.60955,버터떡,10대
2026-04-01,9.01231,버터떡,10대
2025-05-01,2.25001,두바이쫀득쿠키,10대
2025-06-01,2.43528,두바이쫀득쿠키,10대
2025-07-01,3.21189,두바이쫀득쿠키,10대
2025-08-01,4.13299,두바이쫀득쿠키,10대
2025-09-01,4.71618,두바이쫀득쿠키,10대
2025-10-01,12.02321,두바이쫀득쿠키,10대
2025-11-01,25.09161,두바이쫀득쿠키,10대
2025-12-01,100.0,두바이쫀득쿠키,10대
2026-01-01,78.14125,두바이쫀득쿠키,10대
2026-02-01,13.10627,두바이쫀득쿠키,10대
2026-03-01,4.33807,두바이쫀득쿠키,10대
2026-04-01,1.7414,두바이쫀득쿠키,10대
2025-05-01,3.66183,저당,10대
2025-06-01,2.85142,저당,10대
2025-07-01,3.48674,저당,10대
2025-08-01,4.10705,저당,10대
2025-09-01,3.4067,저당,10대
2025-10-01,2.88144,저당,10대
2025-11-01,2.19609,저당,10대
2025-12-01,2.32116,저당,10대
2026-01-01,3.04152,저당,10대
2026-02-01,2.83141,저당,10대
2026-03-01,2.001,저당,10대
2026-04-01,1.19059,저당,10대
2025-05-01,1.18559,봄동비빔밥,10대
2025-06-01,0.6153,봄동비빔밥,10대
