period,ratio,keyword,device
2025-05-01,0.152,우베,모바일
2025-06-01,0.16021,우베,모바일
2025-07-01,0.25245,우베,모바일
2025-08-01,0.195,우베,모바일
2025-09-01,0.20338,우베,모바일
2025-10-01,0.14217,우베,모바일
2025-11-01,0.11793,우베,모바일
2025-12-01,0.12825,우베,모바일
2026-01-01,0.2881,우베,모바일
2026-02-01,0.2162,우베,모바일
2026-03-01,2.46216,우베,모바일
2026-04-01,12.6652,우베,모바일
2025-05-01,0.61961,샌드베이글,모바일
2025-06-01,0.64312,샌드베이글,모바일
2025-07-01,0.62904,샌드베이글,모바일
2025-08-01,0.69729,샌드베이글,모바일
2025-09-01,0.67229,샌드베이글,모바일
2025-10-01,0.53906,샌드베이글,모바일
2025-11-01,0.53291,샌드베이글,모바일
2025-12-01,0.60201,샌드베이글,모바일
2026-01-01,0.65692,샌드베이글,모바일
2026-02-01,0.59603,샌드베이글,모바일
2026-03-01,1.02007,샌드베이글,모바일
2026-04-01,0.97787,샌드베이글,모바일
2025-05-01,2.69585,창억떡,모바일
2025-06-01,2.03039,창억떡,모바일
2025-07-01,1.83983,창억떡,모바일
2025-08-01,2.07546,창억떡,모바일
2025-09-01,3.74088,창억떡,모바일
2025-10-01,2.84736,창억떡,모바일
2025-11-01,2.28928,창억떡,모바일
2025-12-01,2.40892,창억떡,모바일
2026-01-01,3.11212,창억떡,모바일
2026-02-01,3.70128,창억떡,모바일
2026-03-01,26.95703,창억떡,모바일
2026-04-01,19.96249,창억떡,모바일
2025-05-01,0.0023,버터떡,모바일
2025-06-01,0.00076,버터떡,모바일
2025-07-01,0.0006,버터떡,모바일
2025-08-01,0.00093,버터떡,모바일
2025-09-01,0.00283,버터떡,모바일
2025-10-01,0.00347,버터떡,모바일
2025-11-01,0.0004,버터떡,모바일
2025-12-01,0.00469,버터떡,모바일
2026-01-01,0.03762,버터떡,모바일
2026-02-01,0.1416,버터떡,모바일
2026-03-01,47.7136,버터떡,모바일
2026-04-01,11.21016,버터떡,모바일
2025-05-01,1.99212,두바이쫀득쿠키,모바일
2025-06-01,1.97792,두바이쫀득쿠키,모바일
2025-07-01,2.17139,두바이쫀득쿠키,모바일
2025-08-01,4.07802,두바이쫀득쿠키,모바일
2025-09-01,5.16518,두바이쫀득쿠키,모바일
2025-10-01,8.02727,두바이쫀득쿠키,모바일
2025-11-01,17.69626,두바이쫀득쿠키,모바일
2025-12-01,69.52945,두바이쫀득쿠키,모바일
2026-01-01,100.0,두바이쫀득쿠키,모바일
2026-02-01,17.24402,두바이쫀득쿠키,모바일
2026-03-01,4.72317,두바이쫀득쿠키,모바일
2026-04-01,1.53737,두바이쫀득쿠키,모바일
2025-05-01,0.53634,저당,모바일
2025-06-01,0.50999,저당,모바일
2025-07-01,0.5406,저당,모바일
2025-08-01,0.53093,저당,모바일
2025-09-01,0.54069,저당,모바일
2025-10-01,0.43184,저당,모바일
2025-11-01,0.39307,저당,모바일
2025-12-01,0.40833,저당,모바일
2026-01-01,0.39831,저당,모바일
2026-02-01,0.35173,저당,모바일
2026-03-01,0.34215,저당,모바일
2026-04-01,0.28653,저당,모바일
2025-05-01,0.57981,봄동비빔밥,모바일
2025-06-01,0.31962,봄동비빔밥,모바일
2025-07-01,0.24164,봄동비빔밥,모바일
2025-08-01,0.29957,봄동비빔밥,모바일
2025-09-01,0.33452,봄동비빔밥,모바일
2025-10-01,0.76291,봄동비빔밥,모바일
2025-11-01,1.97727,봄동비빔밥,모바일
2025-12-01,2.56897,봄동비빔밥,모바일
2026-01-01,5.89209,봄동비빔밥,모바일
2026-02-01,43.68187,봄동비빔밥,모바일
2026-03-01,100.0,봄동비빔밥,모바일
2026-04-01,4.40068,봄동비빔밥,모바일
2025-05-01,0.26001,우베,PC
2025-06-01,0.27714,우베,PC
2025-07-01,0.66657,우베,PC
2025-08-01,0.27037,우베,PC
2025-09-01,0.30103,우베,PC
2025-10-01,0.17998,우베,PC
2025-11-01,0.2186,우베,PC
2025-12-01,0.22179,우베,PC
2026-01-01,0.5941,우베,PC
2026-02-01,0.33687,우베,PC
2026-03-01,4.79343,우베,PC
2026-04-01,14.63595,우베,PC
2025-05-01,0.56423,샌드베이글,PC
