period,ratio,keyword
2025-05-01,0.16196,우베
2025-06-01,0.17099,우베
2025-07-01,0.29065,우베
2025-08-01,0.20195,우베
2025-09-01,0.21239,우베
2025-10-01,0.14565,우베
2025-11-01,0.12722,우베
2025-12-01,0.13688,우베
2026-01-01,0.31632,우베
2026-02-01,0.22733,우베
2026-03-01,2.67718,우베
2026-04-01,12.84697,우베
2025-05-01,0.6145,샌드베이글
2025-06-01,0.64032,샌드베이글
2025-07-01,0.62828,샌드베이글
2025-08-01,0.69222,샌드베이글
2025-09-01,0.67599,샌드베이글
2025-10-01,0.53642,샌드베이글
2025-11-01,0.53279,샌드베이글
2025-12-01,0.60429,샌드베이글
2026-01-01,0.652,샌드베이글
2026-02-01,0.59012,샌드베이글
2026-03-01,1.01435,샌드베이글
2026-04-01,0.97567,샌드베이글
2025-05-01,2.80631,창억떡
2025-06-01,2.11684,창억떡
2025-07-01,1.94463,창억떡
2025-08-01,2.16488,창억떡
2025-09-01,4.04841,창억떡
2025-10-01,2.94584,창억떡
2025-11-01,2.41117,창억떡
2025-12-01,2.53571,창억떡
2026-01-01,3.33176,창억떡
2026-02-01,3.89783,창억떡
2026-03-01,28.82118,창억떡
2026-04-01,21.46307,창억떡
2025-05-01,0.00209,버터떡
2025-06-01,0.00069,버터떡
2025-07-01,0.00055,버터떡
2025-08-01,0.00084,버터떡
2025-09-01,0.00257,버터떡
2025-10-01,0.00315,버터떡
2025-11-01,0.00036,버터떡
2025-12-01,0.00444,버터떡
2026-01-01,0.03988,버터떡
2026-02-01,0.16776,버터떡
2026-03-01,51.66988,버터떡
2026-04-01,11.79001,버터떡
2025-05-01,1.98797,두바이쫀득쿠키
2025-06-01,1.97673,두바이쫀득쿠키
2025-07-01,2.14935,두바이쫀득쿠키
2025-08-01,4.01308,두바이쫀득쿠키
2025-09-01,5.23923,두바이쫀득쿠키
2025-10-01,7.98609,두바이쫀득쿠키
2025-11-01,17.70443,두바이쫀득쿠키
2025-12-01,69.49023,두바이쫀득쿠키
2026-01-01,100.0,두바이쫀득쿠키
2026-02-01,17.13631,두바이쫀득쿠키
2026-03-01,4.78004,두바이쫀득쿠키
2026-04-01,1.57979,두바이쫀득쿠키
2025-05-01,0.64488,저당
2025-06-01,0.60717,저당
2025-07-01,0.64238,저당
2025-08-01,0.61353,저당
2025-09-01,0.63722,저당
2025-10-01,0.50315,저당
2025-11-01,0.46706,저당
2025-12-01,0.47536,저당
2026-01-01,0.46609,저당
2026-02-01,0.40864,저당
2026-03-01,0.40905,저당
2026-04-01,0.34145,저당
2025-05-01,0.60169,봄동비빔밥
2025-06-01,0.33202,봄동비빔밥
2025-07-01,0.24871,봄동비빔밥
2025-08-01,0.30842,봄동비빔밥
2025-09-01,0.36135,봄동비빔밥
2025-10-01,0.78668,봄동비빔밥
2025-11-01,2.01061,봄동비빔밥
2025-12-01,2.60973,봄동비빔밥
2026-01-01,5.87522,봄동비빔밥
2026-02-01,44.72437,봄동비빔밥
2026-03-01,100.0,봄동비빔밥
2026-04-01,4.51045,봄동비빔밥
